Models,Liar - f1,Liar - Time,ISOT - f1,ISOT - Time,Covid-2 - f1,Covid-2 - Time,GM - f1,GM - Time
AdaBoost,0.23,1566.38,0.97,3841.00,0.88,1179.70,0.87,796.48
BiLSTM,0.23,5044.07,0.99,16036.08,0.92,5835.44,0.92,5178.68
CNN,0.22,3592.12,0.98,11400.64,0.90,3457.10,0.90,3646.48
End-To-End,0.20,7788.05,0.99,18445.79,0.88,8252.32,0.89,9576.82
KNN,0.21,1233.78,0.92,2985.32,0.86,1265.83,0.81,235.40
LR,0.24,1251.69,0.98,3195.63,0.89,1255.32,0.88,273.53
MLP,0.22,1614.25,0.98,4151.79,0.90,1191.56,0.88,690.70
NB,0.22,1225.92,0.90,2930.97,0.82,1230.98,0.80,236.67
RF,0.24,1313.88,0.97,3525.55,0.88,1129.87,0.87,271.27
SVM,0.25,1485.13,0.98,4090.62,0.90,1353.38,0.83,327.68
XGBOOST,0.24,1690.02,0.97,4829.41,0.88,1378.52,0.88,472.43
